Date,Time,Product Category,Channel,Ad Spend,Conversions,Revenue,Customer Segment
2024-12-09,Night,Recent,Email,43.83,0,329.52,New
2024-12-26,Morning,Senior,Social Media,78.89,2,314.62,New
2025-03-27,Afternoon,Along,Social Media,112.2,8,64.82,Returning
2024-12-24,Morning,Cause,In-store,38.42,4,211.91,New
2024-12-25,Evening,Accept,Influencer,32.32,7,457.98,New
2025-01-01,Morning,High,Influencer,7.71,2,450.03,Loyal
2025-02-26,Afternoon,International,In-store,111.9,9,399.25,Loyal
2025-03-26,Evening,Need,In-store,134.92,0,290.06,Returning
2025-04-21,Afternoon,Ability,In-store,101.37,8,361.09,Returning
2025-01-05,Afternoon,Place,In-store,101.43,0,216.36,Loyal
2025-01-16,Afternoon,Man,Email,89.68,4,308.87,Returning
2025-03-02,Evening,Word,In-store,126.99,8,398.39,Returning
2024-11-04,Afternoon,Already,Influencer,146.85,6,225.98,New
2025-04-07,Night,Much,Influencer,115.18,2,146.97,Returning
2024-10-31,Afternoon,Bed,Email,99.04,5,36.18,Loyal
2024-11-14,Evening,It,Email,149.4,10,283.98,Returning
2024-11-11,Morning,Billion,In-store,109.85,1,321.56,New
2025-03-20,Afternoon,Mr,In-store,134.58,6,146.67,Returning
2025-01-25,Morning,Create,In-store,39.43,1,67.85,Loyal
2025-04-07,Evening,Be,In-store,9.65,3,419.59,Returning
2025-01-22,Afternoon,Investment,In-store,118.56,3,452.64,Loyal
2025-04-10,Morning,Continue,Influencer,84.84,10,398.24,New
2025-02-28,Night,Rest,Email,46.98,4,80.12,Returning
2024-12-10,Morning,Risk,Social Media,11.9,4,392.78,Loyal
2024-11-08,Morning,Stop,Influencer,66.73,10,388.51,Returning
2025-02-13,Afternoon,Minute,In-store,90.45,4,24.93,New
2024-11-12,Night,Whom,Influencer,73.94,7,215.01,New
2025-01-20,Night,Make,Influencer,21.67,7,357.83,Loyal
2025-01-02,Evening,Pm,Email,46.4,6,282.95,Loyal
2025-03-16,Morning,Exactly,Email,29.97,2,83.98,Loyal
2025-04-28,Night,Successful,In-store,114.27,3,433.76,Loyal
2025-04-17,Evening,Newspaper,Social Media,123.14,0,179.82,New
2024-12-19,Evening,Imagine,Influencer,89.64,8,45.13,Returning
2025-04-10,Evening,Letter,Influencer,71.48,6,332.46,Returning
